year,tmID,confID,rank,playoff,o_fga,o_fta,o_3pa,o_oreb,o_dreb,d_fgm,d_fga,d_ftm,d_fta,d_3pa,d_oreb,d_dreb,d_asts,GP_x,homeW,homeL,awayW,awayL,confW,confL,stint_x,GP_y,minutes,points,PF,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,stint_y,won_y,lost_y,post_wins,post_losses,TPI_Sum,winrate,roundsPlayed,o_blk,d_3pm,award_player,award_coach,playersAge
1,CHA,0,1.927652377091292,0.0,0.6458190250675606,-0.6110287766183465,-0.6170777028466166,0.6331206273545013,0.6025135652140878,0.803473491773309,0.7474825716498839,0.7680115273775215,0.7682403433476395,-0.4336624957875107,0.7325842696629215,0.7026455026455027,0.871345029239766,0.0,-1.765447706272811,1.544414976960571,-1.3288534728165609,1.0600184920073104,-1.627836914396319,1.5932286806092848,0.0,0.8484848484848485,-0.15516412186754297,0.12218649517684887,0.7496752742274034,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.664488039771797,0.25252594155373226,0.0,-1.28812466083378,1.6213283975783763,0.0,0.0,-1.4145179943391413,-1.6167038766676416,0.0,0.0,0.0,0.0,0.0,-0.1275129859578654
1,CLE,0,-1.0315263227619076,1.0,0.6203663572377829,-0.6727137667813337,-0.44519140899515447,0.687091566079803,0.5766915552763412,0.7074954296160878,0.6820294345468629,0.6556195965417867,0.6255364806866953,-1.0613472204229504,0.6224719101123596,0.6306878306878307,0.7894736842105263,0.0,0.9877817115151833,-1.2276407514973025,-0.9473204083899236,0.6828151070519131,0.7308951369089977,-0.7669479274665828,0.0,0.9393939393939394,0.9731506897868701,0.42604501607717044,1.3040550475059536,0.2,0.5454545454545454,0.5,0.5743944636678201,0.16153846153846155,0.20833333333333331,0.3076923076923077,0.2833333333333333,0.39999999999999997,0.5,0.3333333333333333,0.39285714285714285,0.5862068965517241,0.31730769230769235,0.18604651162790697,0.17307692307692307,0.11904761904761904,0.28125,0.0,0.0,-1.9820215781414072,-1.1320907588217743,0.0,0.2472917579718943,-0.08067141511238499,0.42857142857142855,0.6000000000000001,-0.05037260508411523,0.24087450714175843,0.6666666666666666,0.0,0.0,0.0,0.0,0.0623788241411731
1,CON,0,-0.5383298727863742,1.0,0.6485339763027369,-0.8842051616258609,-0.3060453615915899,0.6621819020527406,0.5795606674916464,0.7778793418647166,0.7606506584043378,0.5446685878962536,0.5311158798283262,-0.12552635823920397,0.7820224719101124,0.707936507936508,0.783625730994152,0.0,0.29947435706818476,-0.5346268193828341,-0.5657873439632862,0.30561172209651577,0.7308951369089977,-0.7669479274665828,0.0,0.9393939393939394,1.0381913932155706,0.3665594855305466,1.8876127035886379,0.4,0.2727272727272727,0.30000000000000004,0.2837370242214533,0.13846153846153847,0.125,0.1282051282051282,0.13333333333333333,0.08571428571428572,0.16666666666666666,0.7777777777777777,0.17857142857142855,0.3103448275862069,0.15384615384615385,0.18604651162790697,0.038461538461538464,0.047619047619047616,0.0,0.0,0.0,-1.5867615166305096,-0.2267644547300944,0.0,0.0766899336601527,0.1084396751865885,0.14285714285714285,0.4,-0.48594183463572,0.03447690894071396,0.3333333333333333,0.0,0.0,0.0,0.0,0.2522706342402116
1,DET,0,0.44806302716469226,0.0,0.6719504307061325,0.46405248050800035,-1.5419896649997218,0.7078496194356884,0.6159027555521787,0.8272394881170019,0.7618125484120837,0.6916426512968299,0.6995708154506438,-1.0156974222676456,0.7438202247191011,0.6772486772486773,0.75,0.0,-0.7329866746023131,0.5048940787888685,-0.1842542795366489,-0.07159166285888145,-0.15362938233049603,0.11811830056186758,0.0,0.9393939393939394,0.46979220238214453,0.3022508038585209,0.8955646882480744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0597481012826704,-1.11433926266311,0.0,-0.2645137149633305,0.4866618557845354,0.0,0.0,-0.38542585858534967,-0.37831828746137497,0.0,0.0,0.0,0.0,0.0,-0.8870802263538323
1,HOU,1,-1.0315263227619076,1.0,0.6427647049279873,-0.10873671386259431,0.24235376641069378,0.5666948566156683,0.6924124146269834,0.7184643510054844,0.7505809450038731,0.5331412103746397,0.5450643776824035,-0.4907247434816416,0.651685393258427,0.6476190476190476,0.6915204678362573,0.0,1.3319353887386827,-1.5741477175545366,2.4864771714498124,-2.712015357546662,1.910261162561656,-1.9470362315045167,0.0,0.9393939393939394,1.482164890533222,0.4308681672025723,0.5746079774025981,0.2,0.5454545454545454,0.6000000000000001,0.6955017301038062,0.38461538461538464,0.25,0.5384615384615384,0.45,0.34285714285714286,0.8333333333333333,0.0,0.5714285714285714,0.48275862068965514,0.4519230769230769,0.4883720930232558,0.13461538461538464,0.14285714285714285,0.21875,0.2,0.0,-0.005721270586991999,-0.3687764239993766,0.0,1.9533100010893103,-1.9717823181021197,0.8571428571428571,0.0,1.6942975506473128,2.304850489152203,1.0,0.0,0.0,0.6666666666666666,0.0,2.277783275296248
1,IND,0,1.4344559271157586,0.0,0.6237600462817532,-0.681525908233189,0.48790561476992533,0.5916045206427307,0.6187718677674838,0.7669104204753199,0.7234701781564679,0.7247838616714697,0.7178111587982833,-1.175471715811212,0.7213483146067416,0.6698412698412699,0.7719298245614035,0.0,-1.765447706272811,1.544414976960571,-0.9473204083899236,0.6828151070519131,-1.0381539015699897,1.003184528590318,1.0,0.15151515151515152,-1.2127825167516295,0.00964630225080386,-1.292776522061992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43345657553619515,0.057259483808470034,0.0,-1.1175228365220384,1.4322173072794029,0.0,0.0,-0.4691891719606583,-1.4103062784665972,0.0,0.0,0.0,0.0,0.0,0.03284009812582948
1,LAS,1,-1.5247227727374408,1.0,0.6638055770006036,0.41117963179686856,-0.07686363645630719,0.6393480433612668,0.748838288194652,0.7093235831809872,0.7602633617350891,0.7132564841498559,0.7424892703862661,-0.5477869911757725,0.6741573033707866,0.7174603174603175,0.6505847953216374,0.0,1.6760890659621819,-1.9206546836117708,2.4864771714498124,-2.712015357546662,1.910261162561656,-1.9470362315045167,0.0,0.9090909090909092,1.2135185068059808,0.5434083601286174,1.1581656334852826,0.0,0.36363636363636365,0.4,0.43944636678200694,0.3615384615384616,0.16666666666666666,0.1794871794871795,0.18333333333333332,0.45714285714285713,0.25,0.0,0.2857142857142857,0.41379310344827586,0.44230769230769235,0.3953488372093023,0.17307692307692307,0.19047619047619047,0.3125,0.5,0.0,0.9524849391363565,-0.6140698254645023,0.0,2.1239118254010516,-2.160893408401093,0.2857142857142857,0.4,1.2204365206955667,2.5112480873532474,0.6666666666666666,0.0,0.0,0.0,1.0,-1.393458386617748
1,MIA,0,0.9412594771402255,0.0,0.6020404364003429,0.15562752969306476,-1.2391423853566697,0.757668947489813,0.5690405893688607,0.6535648994515539,0.6491092176607282,0.6541786743515849,0.6727467811158798,-1.6662070459807374,0.6179775280898877,0.6857142857142857,0.6081871345029239,0.0,-0.3888329973788138,0.1583871127316343,-0.9473204083899236,0.6828151070519131,-0.4484708887436606,0.41314037657135105,0.0,0.9393939393939394,1.176756370085411,0.40353697749196143,1.4207665787224903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9279947474457289,-1.2563512319323922,0.0,-0.43511553927507207,0.6757729460835089,0.0,0.0,-1.3187884933387886,-0.5847158856624194,0.0,0.0,0.0,0.0,0.0,-0.5072966061557553
1,MIN,1,0.9412594771402255,0.0,0.621384463950974,-0.478846654840517,0.8971586953686445,0.5355577765818405,0.5852988919222568,0.6901279707495429,0.680867544539117,0.7406340057636888,0.7532188841201717,0.22825957746440742,0.6741573033707866,0.7164021164021165,0.6900584795321637,0.0,-0.7329866746023131,0.5048940787888685,0.19727878488998843,-0.4487950478142787,-1.627836914396319,1.5932286806092848,1.0,0.06060606060606061,-1.2636839368262647,0.0,-1.3219544048661263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2455282858153147,-0.06700098930215437,0.0,-0.0939118906515889,0.297550765485562,0.0,0.0,-0.7109061619865489,-0.1719206892603305,0.0,0.0,0.0,0.16666666666666666,0.0,-0.8237829563208194
1,NYL,0,-1.5247227727374408,1.0,0.6159545614806214,-0.6991501911368996,-0.5352270867268727,0.5978319366494963,0.6235537214596591,0.6773308957952467,0.7056545313710303,0.6296829971181556,0.6330472103004292,-0.4678998444039892,0.7191011235955057,0.6846560846560847,0.6754385964912281,0.0,0.643628034291684,-0.8811337854400683,0.5788118493166258,-0.8259984327696759,1.0257366433221622,-1.0619700034760662,0.0,0.48484848484848486,-1.0855289665650416,0.03054662379421222,-1.0885313424330525,0.0,0.2727272727272727,0.0,0.02768166089965398,0.03076923076923077,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.07142857142857142,0.0,0.019230769230769232,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.2577854370869154,2.6844809152902007,0.0,0.7590972309071191,-0.6480046860093054,0.5714285714285714,0.6000000000000001,-0.13413591845942385,0.8600673017448918,1.0,0.0,0.0,0.16666666666666666,0.0,0.4421624443392501
