year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena
8,SAS,SAS,WE,2.0,Y,W,L,N,San Antonio Silver Stars,923.0,2176.0,464.0,577.0,207.0,566.0,323.0,764.0,1087.0,567.0,653.0,283.0,558.0,130.0,2517.0,904.0,2139.0,529.0,688.0,147.0,454.0,361.0,776.0,1137.0,516.0,619.0,257.0,583.0,137.0,2484.0,20.0,14.0,34.0,9.0,8.0,11.0,6.0,13.0,9.0,6875.0,128680.0,AT&T Center
9,SAS,SAS,WE,1.0,Y,W,W,L,San Antonio Silver Stars,901.0,2080.0,561.0,694.0,183.0,539.0,246.0,847.0,1093.0,601.0,602.0,272.0,525.0,150.0,2546.0,904.0,2271.0,471.0,634.0,139.0,483.0,389.0,817.0,1206.0,500.0,666.0,278.0,528.0,109.0,2418.0,24.0,10.0,34.0,15.0,2.0,9.0,8.0,10.0,10.0,6850.0,135722.0,AT&T Center
10,SAS,SAS,WE,4.0,Y,L,N,N,San Antonio Silver Stars,936.0,2190.0,487.0,626.0,256.0,739.0,281.0,768.0,1049.0,598.0,596.0,257.0,509.0,116.0,2615.0,1000.0,2279.0,488.0,620.0,173.0,499.0,364.0,824.0,1188.0,529.0,643.0,268.0,502.0,120.0,2661.0,15.0,19.0,34.0,10.0,7.0,5.0,12.0,10.0,10.0,6950.0,127957.0,AT&T Center
1,SEA,SEA,WE,8.0,N,N,N,N,Seattle Storm,667.0,1740.0,379.0,561.0,109.0,364.0,256.0,537.0,793.0,390.0,648.0,255.0,525.0,93.0,1822.0,778.0,1721.0,498.0,654.0,117.0,334.0,288.0,721.0,1009.0,506.0,618.0,284.0,529.0,123.0,2171.0,6.0,26.0,32.0,4.0,12.0,2.0,14.0,4.0,17.0,6475.0,142594.0,KeyArena at Seattle Center
2,SEA,SEA,WE,8.0,N,N,N,N,Seattle Storm,689.0,1821.0,415.0,606.0,128.0,412.0,306.0,585.0,891.0,412.0,605.0,273.0,431.0,127.0,1921.0,753.0,1750.0,417.0,559.0,125.0,325.0,296.0,756.0,1052.0,492.0,588.0,228.0,519.0,127.0,2048.0,10.0,22.0,32.0,5.0,11.0,5.0,11.0,6.0,15.0,6550.0,95257.0,KeyArena at Seattle Center
3,SEA,SEA,WE,4.0,Y,L,N,N,Seattle Storm,794.0,1948.0,418.0,543.0,182.0,506.0,362.0,633.0,995.0,514.0,623.0,282.0,477.0,151.0,2188.0,783.0,1818.0,435.0,587.0,102.0,342.0,307.0,662.0,969.0,488.0,563.0,254.0,531.0,125.0,2103.0,17.0,15.0,32.0,10.0,6.0,7.0,9.0,10.0,11.0,6450.0,111774.0,KeyArena at Seattle Center
4,SEA,SEA,WE,5.0,N,N,N,N,Seattle Storm,890.0,2045.0,442.0,567.0,166.0,500.0,342.0,732.0,1074.0,548.0,644.0,232.0,465.0,138.0,2388.0,844.0,2039.0,441.0,591.0,145.0,437.0,352.0,689.0,1041.0,456.0,570.0,245.0,459.0,104.0,2274.0,18.0,16.0,34.0,13.0,4.0,5.0,12.0,11.0,13.0,6850.0,120857.0,KeyArena at Seattle Center
5,SEA,SEA,WE,2.0,Y,W,W,W,Seattle Storm,873.0,2025.0,524.0,676.0,167.0,439.0,350.0,709.0,1059.0,552.0,665.0,302.0,499.0,131.0,2437.0,851.0,1989.0,423.0,592.0,139.0,391.0,303.0,679.0,982.0,507.0,678.0,252.0,527.0,137.0,2264.0,20.0,14.0,34.0,13.0,4.0,7.0,10.0,13.0,9.0,6825.0,134291.0,KeyArena at Seattle Center
6,SEA,SEA,WE,2.0,Y,L,N,N,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center
7,SEA,SEA,WE,4.0,Y,L,N,N,Seattle Storm,961.0,2124.0,562.0,712.0,160.0,475.0,327.0,821.0,1148.0,514.0,682.0,232.0,570.0,127.0,2644.0,940.0,2218.0,531.0,707.0,164.0,484.0,322.0,709.0,1031.0,520.0,683.0,297.0,485.0,115.0,2575.0,18.0,16.0,34.0,9.0,8.0,9.0,8.0,10.0,10.0,6800.0,145664.0,KeyArena at Seattle Center
8,SEA,SEA,WE,4.0,Y,L,N,N,Seattle Storm,964.0,2210.0,582.0,715.0,224.0,639.0,344.0,820.0,1164.0,533.0,620.0,242.0,533.0,151.0,2734.0,987.0,2321.0,478.0,586.0,195.0,528.0,333.0,761.0,1094.0,591.0,642.0,272.0,495.0,112.0,2647.0,17.0,17.0,34.0,12.0,5.0,5.0,12.0,11.0,11.0,6825.0,135553.0,KeyArena at Seattle Center
9,SEA,SEA,WE,2.0,Y,L,N,N,Seattle Storm,899.0,2112.0,552.0,728.0,143.0,453.0,340.0,822.0,1162.0,530.0,684.0,269.0,526.0,140.0,2493.0,861.0,2164.0,512.0,680.0,172.0,539.0,332.0,760.0,1092.0,498.0,674.0,263.0,515.0,115.0,2406.0,22.0,12.0,34.0,16.0,1.0,6.0,11.0,13.0,7.0,6800.0,140503.0,KeyArena at Seattle Center
10,SEA,SEA,WE,2.0,Y,L,N,N,Seattle Storm,909.0,2116.0,555.0,707.0,171.0,486.0,316.0,788.0,1104.0,536.0,710.0,276.0,555.0,150.0,2544.0,882.0,2150.0,510.0,671.0,202.0,585.0,332.0,746.0,1078.0,517.0,672.0,275.0,555.0,131.0,2476.0,20.0,14.0,34.0,13.0,4.0,7.0,10.0,13.0,7.0,7025.0,133858.0,KeyArena at Seattle Center
1,UTA,SAS,WE,5.0,N,N,N,N,Utah Starzz,858.0,1896.0,609.0,790.0,88.0,262.0,348.0,732.0,1080.0,522.0,698.0,214.0,544.0,157.0,2413.0,860.0,1964.0,531.0,721.0,156.0,448.0,313.0,598.0,911.0,503.0,702.0,301.0,437.0,112.0,2407.0,18.0,14.0,32.0,12.0,4.0,6.0,10.0,13.0,8.0,6400.0,103442.0,EnergySolutions Arena
2,UTA,SAS,WE,3.0,Y,L,N,N,Utah Starzz,811.0,1849.0,507.0,675.0,78.0,244.0,295.0,775.0,1070.0,524.0,622.0,202.0,493.0,156.0,2207.0,789.0,1976.0,489.0,660.0,125.0,429.0,344.0,630.0,974.0,478.0,645.0,275.0,390.0,148.0,2192.0,19.0,13.0,32.0,9.0,7.0,10.0,6.0,11.0,10.0,6475.0,110507.0,EnergySolutions Arena
3,UTA,SAS,WE,3.0,Y,W,N,N,Utah Starzz,843.0,1911.0,643.0,844.0,89.0,247.0,347.0,721.0,1068.0,478.0,665.0,228.0,522.0,178.0,2418.0,851.0,2067.0,516.0,688.0,126.0,377.0,361.0,645.0,1006.0,489.0,724.0,260.0,444.0,149.0,2344.0,20.0,12.0,32.0,12.0,4.0,8.0,8.0,12.0,9.0,6450.0,118720.0,EnergySolutions Arena
11,LAS,LAS,WE,2.3,,,,,Los Angeles Sparks ,916.8,2125.2,500.0,658.2,153.3,456.2,341.3,807.1,1148.4,589.3,684.2,258.6,519.3,151.8,2486.9,846.8,2115.3,516.3,695.5,181.4,539.7,325.3,725.5,1050.8,537.2,645.6,270.5,501.8,120.7,2391.3,22.0,11.4,33.4,12.3,4.4,9.7,7.0,14.2,7.1,6772.5,155290.3,Staples Center
11,MIN,MIN,WE,5.8,,,,,Minnesota Lynx ,846.7,2036.6,499.1,674.7,176.1,520.4,329.3,725.5,1054.8,518.8,673.1,247.1,531.6,112.6,2368.6,880.5,2053.9,520.4,685.7,151.7,449.3,329.1,739.5,1068.6,541.7,677.1,277.1,503.1,132.7,2433.1,13.7,19.7,33.4,8.7,8.0,5.0,11.7,8.4,12.9,6740.0,121304.7,Target Center
11,PHO,PHO,WE,4.6,,,,,Phoenix Mercury ,915.5,2138.6,515.1,659.6,184.6,533.2,310.2,734.3,1044.5,542.5,692.0,269.6,482.6,137.3,2530.7,905.6,2122.3,537.4,718.7,175.8,492.9,362.1,779.4,1141.5,544.0,664.2,251.0,526.0,124.7,2524.4,16.5,16.9,33.4,10.2,6.5,6.3,10.4,10.0,11.3,6730.0,139088.0,US Airways Center
11,SAS,SAS,WE,4.714285714285714,,,,,San Antonio Silver Stars ,863.2857142857143,2077.4285714285716,506.42857142857144,655.0,159.57142857142858,471.57142857142856,301.7142857142857,768.4285714285714,1070.142857142857,522.8571428571429,638.1428571428571,244.57142857142858,520.1428571428571,120.28571428571429,2392.5714285714284,919.2857142857143,2169.8571428571427,485.85714285714283,643.1428571428571,155.28571428571428,464.85714285714283,364.2857142857143,782.7142857142857,1147.0,539.0,649.5714285714286,270.7142857142857,491.14285714285717,130.28571428571428,2479.714285714286,14.285714285714286,19.714285714285715,34.0,8.571428571428571,8.428571428571429,5.714285714285714,11.285714285714286,8.857142857142858,12.571428571428571,6853.571428571428,138915.0,AT&T Center
11,SEA,SEA,WE,4.1,,,,,Seattle Storm ,855.2,2020.7,497.3,650.3,159.2,470.3,326.6,722.3,1048.9,504.9,653.8,256.4,509.7,136.6,2366.9,857.1,2033.3,473.5,627.3,149.4,438.4,319.9,716.9,1036.8,514.3,637.9,263.7,505.3,124.3,2337.1,16.8,16.6,33.4,10.9,5.8,5.9,10.8,10.4,10.9,6742.5,131150.1,KeyArena at Seattle Center
